City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,73.2,broken clouds,-23.1203,-134.9692,People ThankYou
2,Cancun,MX,82.33,few clouds,21.1743,-86.8466,Hotel Tankah Cancun
5,East London,ZA,63.88,broken clouds,-33.0153,27.9116,Tu Casa
6,Owando,CG,73.62,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
8,Dwarka,IN,82.13,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
9,Bethel,US,77.36,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
15,Komsomolskiy,UZ,74.12,clear sky,40.4272,71.7189,Ikathouse
20,Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,Hotel do Campo
21,Atuona,PF,77.07,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
22,Faya,SA,66.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
25,Karratha,AU,70.03,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
26,College,US,73.38,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
27,Meulaboh,ID,80.4,light rain,4.1363,96.1285,Kost Pria
28,Kodiak,US,60.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
30,Dingle,PH,83.82,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
31,Arraial Do Cabo,BR,67.53,clear sky,-22.9661,-42.0278,Pousada Porto Praia
35,Hobyo,SO,75.36,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
38,Sao Filipe,CV,78.01,broken clouds,14.8961,-24.4956,Hotel Xaguate
39,Mogadishu,SO,75.11,broken clouds,2.0371,45.3438,Hotel Juba
41,Aswan,EG,88.72,broken clouds,24.0934,32.907,Nuba Nile
42,Puerto Ayora,EC,67.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Grand-Santi,GF,72.93,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
44,Bonthe,SL,75.22,moderate rain,7.5264,-12.505,Bonthe Holiday Village
49,Norman Wells,CA,73.44,few clouds,65.282,-126.8329,Heritage Hotel
50,Lagoa,PT,73.4,light rain,39.05,-27.9833,Casa Das Faias
53,Rabo De Peixe,PT,75.27,few clouds,37.8,-25.5833,Quinta das Giestas
54,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
55,Hithadhoo,MV,82.27,broken clouds,-0.6,73.0833,Scoop Guest House
58,Port Alfred,ZA,61.02,overcast clouds,-33.5906,26.891,The Halyards Hotel
59,Saint-Philippe,RE,63.99,light rain,-21.3585,55.7679,Le four à pain
64,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
