City_ID,City_ID,City_ID.1,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,0,0,Rikitea,PF,-23.1203,-134.9692,73.2,69,62,20.51,broken clouds
1,1,1,Ahipara,NZ,-35.1667,173.1667,55.51,58,13,12.68,few clouds
2,2,2,Cancun,MX,21.1743,-86.8466,82.33,83,20,4.61,few clouds
3,3,3,Egvekinot,RU,66.3167,-179.1667,51.01,80,100,4.0,overcast clouds
4,4,4,Nizhniy Tsasuchey,RU,50.5167,115.1333,71.67,43,27,13.98,scattered clouds
5,5,5,East London,ZA,-33.0153,27.9116,63.88,42,51,4.74,broken clouds
6,6,6,Owando,CG,-0.4819,15.8999,73.62,62,71,3.62,broken clouds
7,7,7,Severo-Kurilsk,RU,50.6789,156.125,57.07,96,100,10.89,overcast clouds
8,8,8,Dwarka,IN,22.2394,68.9678,82.13,87,100,9.08,overcast clouds
9,9,9,Bethel,US,41.3712,-73.414,77.36,79,88,4.16,overcast clouds
10,10,10,Tari,NG,12.4086,4.4914,72.21,88,90,4.36,overcast clouds
11,11,11,Busselton,AU,-33.65,115.3333,56.08,73,0,16.2,clear sky
12,12,12,Port Elizabeth,ZA,-33.918,25.5701,58.32,95,0,13.8,clear sky
13,13,13,Barrow,US,71.2906,-156.7887,46.42,93,100,19.57,mist
14,14,14,Thessalon,CA,46.2501,-83.5666,59.29,67,0,13.0,clear sky
15,15,15,Komsomolskiy,UZ,40.4272,71.7189,74.12,40,0,6.91,clear sky
16,16,16,Yellowknife,CA,62.456,-114.3525,58.51,51,96,8.99,overcast clouds
17,17,17,Gondar,ET,12.6,37.4667,54.84,97,76,2.8,broken clouds
18,18,18,Mataura,NZ,-46.1927,168.8643,44.47,63,82,4.36,broken clouds
19,19,19,Vyshkov,RU,52.4764,31.6873,62.73,85,5,8.25,clear sky
20,20,20,Ponta Do Sol,PT,32.6667,-17.1,70.43,77,18,1.54,few clouds
21,21,21,Atuona,PF,-9.8,-139.0333,77.07,74,30,24.11,scattered clouds
22,22,22,Faya,SA,18.3851,42.4509,66.72,75,99,5.79,overcast clouds
23,23,23,Ushuaia,AR,-54.8,-68.3,33.46,80,20,2.3,few clouds
24,24,24,Lebu,CL,-37.6167,-73.65,49.73,92,100,8.81,overcast clouds
25,25,25,Karratha,AU,-20.7377,116.8463,70.03,24,50,24.27,scattered clouds
26,26,26,College,US,64.8569,-147.8028,73.38,40,75,3.44,broken clouds
27,27,27,Meulaboh,ID,4.1363,96.1285,80.4,76,99,2.39,light rain
28,28,28,Kodiak,US,57.79,-152.4072,60.31,77,100,10.36,overcast clouds
29,29,29,Sovetskiy,RU,61.3614,63.5842,56.48,93,100,7.94,overcast clouds
30,30,30,Dingle,PH,10.9995,122.6711,83.82,77,94,3.74,overcast clouds
31,31,31,Arraial Do Cabo,BR,-22.9661,-42.0278,67.53,76,7,14.14,clear sky
32,32,32,Mar Del Plata,AR,-38.0023,-57.5575,52.09,79,0,15.99,clear sky
33,33,33,Baykit,RU,61.67,96.37,56.35,62,40,5.57,scattered clouds
34,34,34,Grindavik,IS,63.8424,-22.4338,51.75,100,100,14.97,mist
