City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ponta Do Sol,PT,2022-08-11 04:53:54,32.6667,-17.1,69.71,89,19,3.4
1,Bluff,NZ,2022-08-11 04:53:54,-46.6,168.3333,44.8,61,12,9.04
2,Brae,GB,2022-08-11 04:53:55,60.3964,-1.353,54.18,94,100,10.25
3,Sao Borja,BR,2022-08-11 04:53:55,-28.6606,-56.0044,42.94,90,5,6.15
4,Tutoia,BR,2022-08-11 04:53:55,-2.7619,-42.2744,76.8,84,79,9.13
5,Saint-Philippe,RE,2022-08-11 04:53:56,-21.3585,55.7679,69.39,81,79,18.5
6,Sinnamary,GF,2022-08-11 04:53:56,5.3833,-52.95,77.18,87,40,7.56
7,Saint George,US,2022-08-11 04:53:56,37.1041,-113.5841,84.79,49,0,6.91
8,Chuy,UY,2022-08-11 04:51:11,-33.6971,-53.4616,48.36,90,97,3.83
9,Lompoc,US,2022-08-11 04:53:57,34.6391,-120.4579,64.78,90,100,8.05
10,Kiruna,SE,2022-08-11 04:53:57,67.8557,20.2251,54.52,62,20,18.41
11,Salinas,US,2022-08-11 04:53:57,36.6777,-121.6555,66.81,80,0,5.75
12,Provideniya,RU,2022-08-11 04:53:58,64.3833,-173.3,51.91,93,20,8.95
13,Torbay,CA,2022-08-11 04:53:58,47.6666,-52.7314,57.38,89,100,9.22
14,Camacha,PT,2022-08-11 04:53:58,33.0833,-16.3333,65.62,83,40,6.91
15,Evensk,RU,2022-08-11 04:53:59,61.95,159.2333,53.98,93,100,1.39
16,Andenes,NO,2022-08-11 04:53:59,69.3143,16.1194,53.92,93,75,21.85
17,Port Alfred,ZA,2022-08-11 04:53:59,-33.5906,26.891,57.72,84,70,2.55
18,Hovd,MN,2022-08-11 04:54:00,48.0056,91.6419,73.44,36,57,10.33
19,Ilulissat,GL,2022-08-11 04:53:11,69.2167,-51.1,37.22,97,100,5.84
20,Cape Town,ZA,2022-08-11 04:54:00,-33.9258,18.4232,55.11,92,40,5.75
21,Georgetown,MY,2022-08-11 04:50:05,5.4112,100.3354,89.55,70,20,8.05
22,Hualmay,PE,2022-08-11 04:54:01,-11.0964,-77.6139,60.73,85,64,6.82
23,Mataura,NZ,2022-08-11 04:54:01,-46.1927,168.8643,44.47,71,31,4.12
24,Ushuaia,AR,2022-08-11 04:54:01,-54.8,-68.3,33.46,100,100,1.14
25,Albany,US,2022-08-11 04:54:02,42.6001,-73.9662,64.87,91,9,3.47
26,Sarkand,KZ,2022-08-11 04:54:02,45.41,79.9186,81.1,32,15,6.55
27,Alofi,NU,2022-08-11 04:54:02,-19.0595,-169.9187,78.69,73,11,9.22
28,Airai,TL,2022-08-11 04:54:03,-8.9266,125.4092,69.17,68,62,3.13
29,Bathsheba,BB,2022-08-11 04:54:03,13.2167,-59.5167,83.01,83,75,9.22
30,Castro,BR,2022-08-11 04:50:35,-24.7911,-50.0119,42.93,98,72,4.32
31,Kaitangata,NZ,2022-08-11 04:54:03,-46.2817,169.8464,42.28,68,19,6.55
32,Kousseri,CM,2022-08-11 04:54:04,12.0769,15.0306,75.83,84,100,9.93
33,Sao Filipe,CV,2022-08-11 04:54:04,14.8961,-24.4956,77.09,87,72,8.95
34,Cidreira,BR,2022-08-11 04:54:05,-30.1811,-50.2056,58.17,80,82,2.1
35,Barrow,US,2022-08-11 04:54:05,71.2906,-156.7887,44.62,93,100,18.41
36,Sorong,ID,2022-08-11 04:54:05,-0.8833,131.25,82.56,72,14,6.08
37,Tessalit,ML,2022-08-11 04:54:06,20.1986,1.0114,88.25,38,58,7.14
38,Rikitea,PF,2022-08-11 04:54:06,-23.1203,-134.9692,73.18,72,100,21.65
39,Kaltasy,RU,2022-08-11 04:54:07,55.9693,54.8032,66.52,71,87,11.59
40,Sao Joaquim,BR,2022-08-11 04:54:07,-28.2939,-49.9317,41.04,96,90,3.67
41,Tautira,PF,2022-08-11 04:54:07,-17.7333,-149.15,77.49,74,33,16.11
42,Revelstoke,CA,2022-08-11 04:54:08,50.9832,-118.2023,66.22,88,75,0.0
43,General Roca,AR,2022-08-11 04:54:08,-39.0333,-67.5833,47.25,59,0,10.02
44,San Cristobal,VE,2022-08-11 04:50:19,7.7669,-72.225,71.78,92,100,3.04
45,Ambilobe,MG,2022-08-11 04:54:09,-13.2,49.05,76.32,43,5,8.59
46,Buritizeiro,BR,2022-08-11 04:55:09,-17.3511,-44.9622,65.43,40,80,9.98
47,Hermanus,ZA,2022-08-11 04:54:14,-34.4187,19.2345,48.79,89,98,6.6
48,Atuona,PF,2022-08-11 04:55:10,-9.8,-139.0333,77.14,75,4,23.76
49,Comodoro Rivadavia,AR,2022-08-11 04:55:10,-45.8667,-67.5,48.06,61,0,3.44
50,Namibe,AO,2022-08-11 04:55:10,-15.1961,12.1522,59.99,89,3,2.75
51,Tacoronte,ES,2022-08-11 04:55:11,28.4769,-16.4102,64.17,91,100,17.27
52,Punta Arenas,CL,2022-08-11 04:55:11,-53.15,-70.9167,32.11,93,0,5.75
53,Busselton,AU,2022-08-11 04:55:11,-33.65,115.3333,58.53,65,59,3.36
54,Kodino,RU,2022-08-11 04:55:12,63.7198,39.6447,61.95,64,99,9.04
55,Thompson,CA,2022-08-11 04:51:56,55.7435,-97.8558,51.96,87,0,0.0
56,Ribeira Grande,PT,2022-08-11 04:55:12,38.5167,-28.7,72.07,73,24,6.04
57,Hithadhoo,MV,2022-08-11 04:55:12,-0.6,73.0833,82.42,73,5,12.37
58,Askarovo,RU,2022-08-11 04:55:13,53.3372,58.5089,72.55,53,62,2.24
59,Naze,JP,2022-08-11 04:55:13,28.3667,129.4833,86.92,74,100,2.19
60,Faanui,PF,2022-08-11 04:55:14,-16.4833,-151.75,78.17,71,10,8.41
61,Severo-Kurilsk,RU,2022-08-11 04:55:14,50.6789,156.125,60.98,79,13,6.46
62,Saskylakh,RU,2022-08-11 04:55:14,71.9167,114.0833,50.56,66,100,15.21
63,Hilo,US,2022-08-11 04:55:15,19.7297,-155.09,83.28,94,44,1.99
64,San Patricio,US,2022-08-11 04:55:15,28.017,-97.5169,85.89,71,21,10.56
65,Jamestown,US,2022-08-11 04:53:36,42.097,-79.2353,62.71,69,0,1.01
66,Port-Gentil,GA,2022-08-11 04:55:15,-0.7193,8.7815,74.55,86,100,11.7
67,Ginir,ET,2022-08-11 04:55:16,7.1333,40.7,59.29,77,91,11.86
68,Semey,KZ,2022-08-11 04:55:16,50.4111,80.2275,73.62,64,20,4.47
69,Aden,YE,2022-08-11 04:55:16,12.7794,45.0367,83.12,77,93,17.16
70,Geraldton,AU,2022-08-11 04:55:17,-28.7667,114.6,64.81,52,0,13.8
71,Cayenne,GF,2022-08-11 04:51:42,4.9333,-52.3333,79.09,1,25,0.0
72,Tiksi,RU,2022-08-11 04:55:17,71.6872,128.8694,52.3,65,100,1.92
73,Talnakh,RU,2022-08-11 04:55:18,69.4865,88.3972,52.21,53,68,9.28
74,Khatanga,RU,2022-08-11 04:55:18,71.9667,102.5,46.38,60,100,14.27
75,Peniche,PT,2022-08-11 04:55:18,39.3558,-9.3811,62.46,95,36,7.63
76,Cherskiy,RU,2022-08-11 04:55:19,68.75,161.3,70.21,51,32,4.68
77,Uvira,CD,2022-08-11 04:55:19,-3.4067,29.1458,74.68,61,72,0.78
78,Bambous Virieux,MU,2022-08-11 04:55:19,-20.3428,57.7575,71.22,64,75,12.66
79,Deputatskiy,RU,2022-08-11 04:55:20,69.3,139.9,66.51,48,100,6.02
80,Qaanaaq,GL,2022-08-11 04:55:20,77.484,-69.3632,32.27,70,59,6.46
81,East London,ZA,2022-08-11 04:55:20,-33.0153,27.9116,50.94,93,20,1.14
82,Grindavik,IS,2022-08-11 04:55:21,63.8424,-22.4338,48.67,93,100,9.22
83,Vaini,TO,2022-08-11 04:55:21,-21.2,-175.2,78.96,94,75,14.97
84,Griffith,US,2022-08-11 04:55:21,41.5284,-87.4237,75.06,89,0,0.0
85,Lebu,CL,2022-08-11 04:55:21,-37.6167,-73.65,45.14,87,2,4.65
86,Imbituba,BR,2022-08-11 04:55:22,-28.24,-48.6703,56.86,99,80,11.99
87,Mahebourg,MU,2022-08-11 04:55:10,-20.4081,57.7,71.26,64,75,12.66
88,Chokurdakh,RU,2022-08-11 04:50:27,70.6333,147.9167,68.7,48,100,15.21
89,Ravar,IR,2022-08-11 04:55:22,31.2656,56.8055,86.36,20,0,5.08
90,Bredasdorp,ZA,2022-08-11 04:56:23,-34.5322,20.0403,50.49,94,100,4.07
91,Mount Gambier,AU,2022-08-11 04:56:23,-37.8333,140.7667,57.56,62,65,9.86
92,Bardiyah,LY,2022-08-11 04:56:23,31.7561,25.0865,77.4,73,0,10.45
93,Nouadhibou,MR,2022-08-11 04:55:16,20.931,-17.0347,71.58,83,62,18.41
94,Slave Lake,CA,2022-08-11 04:56:24,55.2834,-114.769,71.58,68,0,9.22
95,Uyuni,BO,2022-08-11 04:56:24,-20.4597,-66.825,32.25,24,0,2.66
96,Bengkulu,ID,2022-08-11 04:56:24,-3.8004,102.2655,83.82,68,46,6.73
97,Zhigansk,RU,2022-08-11 04:51:40,66.7697,123.3711,66.29,59,68,18.45
98,Honiara,SB,2022-08-11 04:54:18,-9.4333,159.95,83.25,76,62,4.54
99,At-Bashi,KG,2022-08-11 04:56:25,41.1702,75.8106,71.38,36,14,3.04
100,Muncar,ID,2022-08-11 04:56:25,-8.4333,114.3333,84.36,68,59,7.9
101,South River,US,2022-08-11 04:56:26,40.4465,-74.386,78.91,85,84,2.98
102,Mar Del Plata,AR,2022-08-11 04:56:26,-38.0023,-57.5575,46.09,91,0,11.01
103,Mortka,RU,2022-08-11 04:56:26,59.3322,66.0214,71.33,49,49,8.61
104,Ust-Maya,RU,2022-08-11 04:56:27,60.4167,134.5333,62.46,73,100,3.67
105,Danville,US,2022-08-11 04:51:41,36.586,-79.395,73.87,92,0,3.44
106,Handan,CN,2022-08-11 04:56:27,36.6006,114.4678,83.14,79,96,5.5
107,Souillac,MU,2022-08-11 04:56:27,-20.5167,57.5167,70.18,64,75,12.66
108,Richards Bay,ZA,2022-08-11 04:56:28,-28.783,32.0377,62.13,85,40,2.77
109,Ekhabi,RU,2022-08-11 04:56:28,53.5102,142.9671,64.13,79,100,10.02
110,San Angelo,US,2022-08-11 04:53:55,31.4638,-100.437,78.55,78,92,3.71
111,Voyvozh,RU,2022-08-11 04:56:28,62.892,54.9635,55.53,90,100,9.08
112,Boa Vista,BR,2022-08-11 04:52:20,2.8197,-60.6733,82.38,74,0,2.3
113,Barcelos,PT,2022-08-11 04:56:29,41.5388,-8.6151,69.85,98,10,1.97
114,Bridlington,GB,2022-08-11 04:56:29,54.0831,-0.1919,58.51,82,6,4.74
115,Samagaltay,RU,2022-08-11 04:56:29,50.6022,95.0047,67.46,44,100,15.99
116,Aasiaat,GL,2022-08-11 04:56:30,68.7098,-52.8699,37.4,94,100,6.82
117,Montijo,PT,2022-08-11 04:56:30,38.7067,-8.9739,68.0,90,40,0.0
118,Srednekolymsk,RU,2022-08-11 04:56:30,67.45,153.6833,79.29,42,100,0.87
119,Urgut,UZ,2022-08-11 04:56:31,39.4022,67.2431,76.62,25,1,7.49
120,Hobart,AU,2022-08-11 04:55:26,-42.8794,147.3294,55.26,69,0,5.75
121,Sitka,US,2022-08-11 04:56:31,57.0531,-135.33,57.16,95,89,3.71
122,Iqaluit,CA,2022-08-11 04:56:32,63.7506,-68.5145,44.33,81,20,8.99
123,Jos,NG,2022-08-11 04:56:32,9.9167,8.9,65.5,97,100,5.01
124,Plettenberg Bay,ZA,2022-08-11 04:56:32,-34.0527,23.3716,54.63,89,100,4.03
